id,text,image_url,type,min_value,max_value,price_unit,category,,
1,For how much would you live on a deserted island for a year?,,,0,100000,,Nature,,
2,For how much would you only eat what you can grow or catch?,,,0,100000,,Nature,,
3,For how much would you let insects crawl over you for 10 minutes?,,,0,100000,,Nature,,
4,For how much would you fight a giant snake ?,,,0,100000,,Nature,,
5,For how much would you accept to be put in a cage with a gorilla for a week?,,,0,100000,,Nature,,
6,For how much would you burn a forest?,,,0,100000,,Nature,,
7,For how much would you eat raw meat for a month?,,,0,100000,,Nature,,
8,For how much would you live with wolves for a year?,,,0,100000,,Nature,,
9,For how much would you become vegan?,,,0,100000,,Nature,,
10,For how much would you never touch an animal again?,,,0,100000,,Nature,,
11,For how much would you shave your head?,,,0,100000,,Health,,
12,For how much would you get plastic surgery?,,,0,100000,,Health,,
13,For how much would you gain 20 kg on purpose?,,,0,100000,,Health,,
14,For how much would you get a ridiculous tattoo?,,,0,100000,,Health,,
15,For how much would you eat only fast food for a year?,,,0,100000,,Food,,For how much would you never sleep again (but stay alive)?
16,For how much would you run a marathon this year?,,,0,100000,,Sport,,
17,For how much would you stop doing sports?,,,0,100000,,Sport,,
18,For how much would you remove a healthy tooth?,,,0,100000,,Health,,
19,For how much would you give up mirrors forever?,,,0,100000,,Health,,
20,For how much would you live with no hygiene for a month?,,,0,100000,,Health,,
21,For how much would you let someone else dress you for a day?,,,0,100000,,Health,,
22,For how much would you undergo a cosmetic procedure chosen by a stranger?,,,0,100000,,Health,,
23,For how much would you never be able to grow hair again on any part of your body?,,,0,100000,,Health,,
24,For how much would you quit your job today?,,,0,100000,,Career & Lifestyle,,
25,For how much would you never work again?,,,0,100000,,Career & Lifestyle,,
26,For how much would you take the worst job imaginable?,,,0,100000,,Career & Lifestyle,,
27,For how much would you move to a war-torn country?,,,0,100000,,Career & Lifestyle,,
28,For how much would you live homeless for a year?,,,0,100000,,Career & Lifestyle,,
29,For how much would you fake a new identity for a year?,,,0,100000,,Career & Lifestyle,,
30,For how much would you live without a phone for a year?,,,0,100000,,Career & Lifestyle,,
31,For how much would you work for your worst boss again?,,,0,100000,,Career & Lifestyle,,
32,For how much would you quit your job to start a business you know nothing about?,,,0,100000,,Career & Lifestyle,,
33,For how much would you be your parent’s boss?,,,0,100000,,Career & Lifestyle,,
34,For how much would you be fired on live TV?,,,0,100000,,Career & Lifestyle,,
35,For how much would you live without internet?,,,0,100000,,Career & Lifestyle,,
36,For how much would you switch to working night shifts for 5 years?,,,0,100000,,Career & Lifestyle,,
37,For how much would you pretend to be a motivational speaker for 3 months?,,,0,100000,,Career & Lifestyle,,
38,For how much would you tell your parents a secret you've hidden?,,,0,100000,,Childhood & Family,,
39,For how much would you switch lives with your sibling or parent for a year?,,,0,100000,,Childhood & Family,,
40,For how much would you go back to being 10 years old permanently?,,,0,100000,,Childhood & Family,,
41,For how much would you have 5 kids?,,,0,100000,,Childhood & Family,,
42,For how much would you never speak to your parents again?,,,0,100000,,Childhood & Family,,
43,For how much would you marry someone your parents picked?,,,0,100000,,Childhood & Family,,
44,For how much would you become a stay-at-home parent right now?,,,0,100000,,Childhood & Family,,
45,For how much would you name your first child after your least favorite relative?,,,0,100000,,Childhood & Family,,
46,For how much would you forget how to write?,,,0,100000,,Creativity & Skills,,
47,For how much would you never be allowed to sing again?,,,0,100000,,Creativity & Skills,,
48,For how much would you perform an improvised rap in front of strangers?,,,0,100000,,Creativity & Skills,,
49,For how much would you be drunk in a serious meeting?,,,0,100000,,Trashy,,
50,For how much would you get banned from your favorite place?,,,0,100000,,Trashy,,
51,For how much would you flirt with someone you hate?,,,0,100000,,Trashy,,
52,For how much would you go to a fancy event dressed like a clown?,,,0,100000,,Trashy,,
53,For how much would you fake a pregnancy?,,,0,100000,,Trashy,,
54,For how much would you fake your own death and start over?,,,0,100000,,Trashy,,
55,For how much would you sleep in a morgue for a week?,,,0,100000,,Trashy,,
56,For how much would you bury a mannequin that looks like you in a public place?,,,0,100000,,Trashy,,
57,For how much would you give up on love?,,,0,100000,,Deep,,
58,For how much would you quit social media?,,,0,100000,,Deep,,
59,For how much would you live completely alone for a year?,,,0,100000,,Deep,,
60,For how much would you stop lying for the rest of your life?,,,0,100000,,Deep,,
61,For how much would you never see your best friend again?,,,0,100000,,Deep,,
62,For how much would you erase a core memory?,,,0,100000,,Deep,,
63,For how much would you live without emotions?,,,0,100000,,Deep,,
64,For how much would you know the exact date of your death?,,,0,100000,,Deep,,
65,For how much would you let someone else make all your life decisions?,,,0,100000,,Deep,,
66,For how much would you take the blame for a crime you didn’t do?,,,0,100000,,Deep,,
67,For how much would you delete all your memories?,,,0,100000,,Deep,,
68,For how much would you never see your family again?,,,0,100000,,Deep,,
69,For how much would you take a life to save another?,,,0,100000,,Deep,,
70,For how much would you relive your worst day 100 times?,,,0,100000,,Deep,,
71,For how much would you go back to high school?,,,0,100000,,Deep,,
72,For how much would you fast-forward your life 10 years?,,,0,100000,,Deep,,
73,For how much would you forget everyone you’ve ever met?,,,0,100000,,Deep,,
74,For how much would you remember everything forever?,,,0,100000,,Deep,,
75,For how much would you age 10 years instantly?,,,0,100000,,Deep,,
76,"For how much would you live your life on repeat, knowingly, forever?",,,0,100000,,Deep,,
77,For how much would you leak your search history?,,,0,100000,,Edgy,,
78,For how much would you sext your ex?,,,0,100000,,NSFW / Spicy,,
79,For how much would you drink from a stranger's shoe?,,,0,100000,,Edgy,,
80,For how much would you sell your nudes?,,,0,100000,,NSFW / Spicy,,
81,For how much would you fart loudly during a serious meeting?,,,0,100000,,Edgy,,
82,For how much would you scream your biggest secret in public?,,,0,100000,,Edgy,,
83,For how much would you start every sentence with “Daddy” for a whole day?,,,0,100000,,NSFW / Spicy,,
84,For how much would you bark like a dog in public for 10 minutes?,,,0,100000,,Edgy,,
85,For how much would you eat human meat?,,,0,100000,,Edgy,,
86,For how much would you tattoo your ex's name?,,,0,100000,,Edgy,,
